Sydney,Nouvelle-Ãcosse,2,3,Nov,2016,21h37
Fort Smith,Territoires du Nord-Ouest,N,3,Nov,2016,21h37
Inuvik,Territoires du Nord-Ouest,2,3,Nov,2016,21h37
Yellowknife,Territoires du Nord-Ouest,2,3,Nov,2016,21h37
Barrie,Ontario,1,3,Nov,2016,21h37
Belleville,Ontario,1,3,Nov,2016,21h37
Brampton,Ontario,2,3,Nov,2016,21h37
Brantford,Ontario,2,3,Nov,2016,21h37
Burlington,Ontario,2,3,Nov,2016,21h37
Chatham,Ontario,2,3,Nov,2016,21h37
Cornwall,Ontario,1,3,Nov,2016,21h37
Dorset,Ontario,1,3,Nov,2016,21h37
Grand Bend,Ontario,1,3,Nov,2016,21h37
Guelph,Ontario,2,3,Nov,2016,21h37
Hamilton,Ontario,2,3,Nov,2016,21h37
Hamilton - centre-ville,Ontario,2,3,Nov,2016,21h37
Hamilton Mountain,Ontario,2,3,Nov,2016,21h37
Hamilton Ouest,Ontario,2,3,Nov,2016,21h37
Kingston,Ontario,1,3,Nov,2016,21h37
Kitchener,Ontario,2,3,Nov,2016,21h37
London,Ontario,2,3,Nov,2016,21h37
Mississauga,Ontario,2,3,Nov,2016,21h37
Newmarket,Ontario,1,3,Nov,2016,21h37
North Bay,Ontario,1,3,Nov,2016,21h37
Oakville,Ontario,2,3,Nov,2016,21h37
Oshawa,Ontario,1,3,Nov,2016,21h37
Ottawa,Ontario,1,3,Nov,2016,21h37
Ottawa - centre-ville,Ontario,1,3,Nov,2016,21h37
Ottawa Central,Ontario,1,3,Nov,2016,21h37
Parry Sound,Ontario,1,3,Nov,2016,21h37
Petawawa,Ontario,1,3,Nov,2016,21h37
Peterborough,Ontario,1,3,Nov,2016,21h37
Port Stanley,Ontario,1,3,Nov,2016,21h37
Sarnia,Ontario,1,3,Nov,2016,21h37
Sault Ste. Marie,Ontario,1,3,Nov,2016,21h37
St. Catharines,Ontario,2,3,Nov,2016,21h37
Sudbury,Ontario,1,3,Nov,2016,21h37
Thunder Bay,Ontario,2,3,Nov,2016,21h37
Tiverton,Ontario,1,3,Nov,2016,21h37
Toronto,Ontario,2,3,Nov,2016,21h37
Toronto - centre-ville,Ontario,2,3,Nov,2016,21h37
Toronto Est,Ontario,2,3,Nov,2016,21h37
Toronto Nord,Ontario,1,3,Nov,2016,21h37
Toronto Ouest,Ontario,2,3,Nov,2016,21h37
Windsor,Ontario,2,3,Nov,2016,21h37
Windsor - centre-ville,Ontario,2,3,Nov,2016,21h37
Windsor Ouest,Ontario,2,3,Nov,2016,21h37
Charlottetown,Ãle-du-Prince-Ãdouard,1,3,Nov,2016,21h37
St. Peters Bay,Ãle-du-Prince-Ãdouard,1,3,Nov,2016,21h37
Summerside (Wellington),Ãle-du-Prince-Ãdouard,N,3,Nov,2016,21h37
Gatineau,QuÃ©bec,"
",3,Nov,2016,21h37
MontrÃ©al,QuÃ©bec,"
",3,Nov,2016,21h37
QuÃ©bec,QuÃ©bec,"
",3,Nov,2016,21h37
Prince Albert,Saskatchewan,1,3,Nov,2016,21h37
Regina,Saskatchewan,2,3,Nov,2016,21h37
Saskatoon,Saskatchewan,2,3,Nov,2016,21h37
Swift Current,Saskatchewan,3,3,Nov,2016,21h37
Whitehorse,Whitehorse,2,3,Nov,2016,21h37
